PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
I-75 Ramp,,Knox,47000119R,TDOT,,47000119R,ACTIVE,,-83.97982989,35.97504786,,,,,,,,,,,,,,,,,,,,9146,9757,7585,11426,11300
I-75 Ramp,,Knox,47000118R,TDOT,,47000118R,ACTIVE,,-83.97777489,35.97452387,,,,,,,,,,,,,,,,,,,,5424,5754,16422,7033,5398
I-75 Ramp,,Knox,47000177R,TDOT,,47000177R,ACTIVE,,-83.97827889,35.97625486,,,,,,,,,,,,,,,,,,,,2465,2521,2031,2881,2288
I-75 Ramp,,Knox,47000169R,TDOT,,47000169R,ACTIVE,,-83.9983009,36.02645688,,,,,,,,,,,,,,,,,,,,3239,3253,2560,4195,3540
I-75 Ramp,,Knox,47000170R,TDOT,,47000170R,ACTIVE,,-83.9969279,36.02668188,,,,,,,,,,,,,,,,,,,,3253,3474,3183,4393,3730
I-75 Ramp,,Knox,47000168R,TDOT,,47000168R,ACTIVE,,-83.9963419,36.02319987,,,,,,,,,,,,,,,,,,,,8921,9277,6579,10291,9633
I-75 Ramp,,Knox,47000167R,TDOT,,47000167R,ACTIVE,,-83.9952149,36.02385787,,,,,,,,,,,,,,,,,,,,9371,9994,6456,10408,9438
I-75 Ramp,,Knox,47000165R,TDOT,,47000165R,ACTIVE,,-83.97459989,36.01134487,,,,,,,,,,,,,,,,,,,,3180,3314,2671,4078,3627
I-75 Ramp,,Knox,47000166R,TDOT,,47000166R,ACTIVE,,-83.97342489,36.01146987,,,,,,,,,,,,,,,,,,,,3261,3148,2725,3649,3322
I-75 Ramp,,Knox,47000164R,TDOT,,47000164R,ACTIVE,,-83.97125789,36.00935087,,,,,,,,,,,,,,,,,,,,8312,8486,5973,9946,9282
I-75 Ramp,,Knox,47000163R,TDOT,,47000163R,ACTIVE,,-83.97060189,36.00970787,,,,,,,,,,,,,,,,,,,,8422,8382,5826,9292,9190
I-75 Ramp,,Knox,47000121R,TDOT,,47000121R,ACTIVE,,-83.96772189,35.99159487,,,,,,,,,,,,,,,,,,,,3264,3410,2524,2650,3594
I-275 Ramp,,Knox,47000139R,TDOT,,47000139R,ACTIVE,,-83.95256389,35.99205687,,,,,,,,,,,,,,,,,,,,4579,4379,3057,4849,2492
I-75 Ramp,,Knox,47000122R,TDOT,,47000122R,ACTIVE,,-83.96140889,35.99845487,,,,,,,,,,,,,,,,,,,,4014,3624,2565,4287,3776
I-75 Ramp,,Knox,47000123R,TDOT,,47000123R,ACTIVE,,-83.96095389,35.99934687,,,,,,,,,,,,,,,,,,,,1243,1402,1012,1246,837
I-75 Ramp,,Knox,47000124R,TDOT,,47000124R,ACTIVE,,-83.96039789,35.99774187,,,,,,,,,,,,,,,,,,,,3948,3378,2554,5932,3341
I-75 Ramp,,Knox,47000127R,TDOT,,47000127R,ACTIVE,,-83.96028589,35.99974087,,,,,,,,,,,,,,,,,,,,2955,3340,2544,2671,2518
I-75 Ramp,,Knox,47000236R,TDOT,,47000236R,ACTIVE,,-83.96048189,36.00252887,,,,,,,,,,,,,,,,,,,,32483,31945,25340,37372,35910
I-75 Ramp,,Knox,47000126R,TDOT,,47000126R,ACTIVE,,-83.95774589,35.99942487,,,,,,,,,,,,,,,,,,,,11693,12075,10748,11285,10987
